,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
257,1400,"Cheseaux-Noréaz, Cuarny, Yverdon-les-Bains",,,,2.0,6.682928459250843e-05,0.06682928459250843
258,1404,"Cuarny, Villars-Epeney",,,,,,
259,1405,Pomy,,,,,,
260,1406,Cronay,,,,,,
261,1407,"Bioley-Magnoux, Donneloye",,,,,,
262,1408,Donneloye,,,,,,
263,1409,Montanaire,,,,,,
264,1410,"Prévondavaux, Montanaire",,,,,,
265,1412,"Ursins, Valeyres-sous-Ursins",,,,,,
266,1413,Orzens,,,,,,
267,1415,"Démoret, Molondin",,,,,,
268,1416,Pailly,,,,,,
269,1417,Essertines-sur-Yverdon,,,,1.0,0.0011001100110011,1.1001100110011
270,1418,Vuarrens,,,,,,
271,1420,Fiez,,,,,,
272,1421,"Fontaines-sur-Grandson, Grandevent",,,,,,
273,1422,Grandson,,,,1.0,0.00030703101013202335,0.30703101013202333
274,1423,"Bonvillars, Tévenon",,,,,,
275,1424,Champagne,,,,1.0,0.0009970089730807576,0.9970089730807576
276,1425,Onnens (VD),,,,,,
277,1426,"Concise, Corcelles-près-Concise",,,,,,
278,1427,Bonvillars,,,,,,
279,1428,"Concise, Mutrux, Provence",,,,,,
280,1429,Giez,,,,,,
281,1430,Orges,,,,,,
282,1431,"Novalles, Vugelles-La Mothe",,,,,,
283,1432,"Belmont-sur-Yverdon, Valeyres-sous-Ursins, Yverdon-les-Bains",,,,,,
284,1433,Suchy,,,,,,
285,1434,Ependes (VD),,,,1.0,0.0029154518950437317,2.9154518950437316
286,1435,"Chavornay, Essert-Pittet",,,,,,
287,1436,"Chamblon, Treycovagnes",,,,,,
288,1437,Suscévaz,,,,,,
289,1438,Mathod,,,,,,
290,1439,Rances,,,,,,
291,1441,Valeyres-sous-Montagny,,,,1.0,0.0015600624024961,1.5600624024960998
292,1442,Montagny-près-Yverdon,,,,,,
293,1443,Champvent,,,,,,
294,1445,"Sainte-Croix, Vuiteboeuf",,,,,,
295,1446,Baulmes,,,,,,
296,1450,Sainte-Croix,,,,,,
297,1452,"Bullet, Sainte-Croix",,,,,,
298,1453,"Bullet, Fiez, Fontaines-sur-Grandson, Mauborget, Tévenon",,,,,,
299,1454,Sainte-Croix,,,,,,
300,1462,"Cheseaux-Noréaz, Yvonand",,,,,,
301,1463,Rovray,,,,,,
302,1464,"Chavannes-le-Chêne, Chêne-Pâquier",,,,,,
303,1468,Cheyres,,,,1.0,0.0007283321194464676,0.7283321194464676
304,1470,"Estavayer-le-Lac, Lully (FR)",,,,,,
305,1473,"Châtillon (FR), Estavayer-le-Lac",,,,,,
306,1474,Châbles,,,,,,
