diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"01.12.2006";"Bern";"Schwarzenburg";"Albligen";"Zu bekämpfende Seuchen";"Schafräude (2009 aus TSV gestrichen)";"Schaf";"";0;0
"12.12.2006";"Bern";"Burgdorf";"Kernenried";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.12.2006";"Bern";"Trachselwald";"Rüegsau";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.12.2006";"Bern";"Courtelary";"Courtelary";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"07.12.2006";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"13.12.2006";"Bern";"Burgdorf";"Hindelbank";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.12.2006";"Bern";"Burgdorf";"Wynigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.12.2006";"Bern";"Konolfingen";"Bowil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.12.2006";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.03.2007";"Bern";"Thun (bis 2010)";"Eriz";"Zu überwachende Seuchen";"Maedi-Visna";"Schaf";"";1;0
"15.03.2007";"Bern";"Bern";"Vechigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.03.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"14.03.2007";"Bern";"Trachselwald";"Huttwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Courtelary";"Corgémont";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"27.03.2007";"Bern";"Burgdorf";"Heimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Fraubrunnen";"Utzenstorf";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"24.03.2007";"Bern";"Interlaken";"Brienz (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"27.03.2007";"Bern";"Konolfingen";"Biglen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Bern";"Köniz";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"16.03.2007";"Bern";"Frutigen";"Aeschi bei Spiez";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Seftigen";"Wattenwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Moutier";"Tavannes";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"26.03.2007";"Bern";"Aarberg";"Rapperswil (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Burgdorf";"Wynigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"26.03.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Interlaken";"Grindelwald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Konolfingen";"Niederwichtrach";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"27.03.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";5;0
"30.03.2007";"Bern";"Courtelary";"La Ferrière";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"29.03.2007";"Bern";"Fraubrunnen";"Diemerswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.03.2007";"Bern";"Trachselwald";"Rüegsau";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"03.04.2007";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"28.12.2006";"Bern";"Burgdorf";"Burgdorf";"Zu bekämpfende Seuchen";"Infektiöse Laryngotracheitis der Hühner";"Huhn";"";3;0
"29.12.2006";"Bern";"Bern";"Bern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"08.01.2007";"Bern";"Bern";"Oberbalm";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"09.01.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.01.2007";"Bern";"Frutigen";"Reichenbach im Kandertal";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"28.12.2006";"Bern";"Konolfingen";"Worb";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";4;0
"04.01.2007";"Bern";"Obersimmental";"Zweisimmen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"28.12.2006";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Signau";"Trub";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Thun (bis 2010)";"Steffisburg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"28.12.2006";"Bern";"Trachselwald";"Lützelflüh";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";3;0
"05.01.2007";"Bern";"Trachselwald";"Walterswil (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Seftigen";"Englisberg";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"10.01.2007";"Bern";"Aarberg";"Grossaffoltern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"10.01.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.01.2007";"Bern";"Frutigen";"Reichenbach im Kandertal";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.01.2007";"Bern";"Obersimmental";"Zweisimmen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"10.01.2007";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"10.01.2007";"Bern";"Thun (bis 2010)";"Sigriswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"28.12.2006";"Bern";"Bern";"Bern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.01.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.01.2007";"Bern";"Konolfingen";"Oberthal";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"03.01.2007";"Bern";"Niedersimmental";"Erlenbach im Simmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.01.2007";"Bern";"Obersimmental";"Zweisimmen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"11.12.2006";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.01.2007";"Bern";"Thun (bis 2010)";"Uetendorf";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"04.01.2007";"Bern";"Wangen";"Farnern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"11.01.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.01.2007";"Bern";"Fraubrunnen";"Iffwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"17.01.2007";"Bern";"Frutigen";"Kandergrund";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"11.01.2007";"Bern";"Konolfingen";"Worb";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"10.01.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"10.01.2007";"Bern";"Signau";"Röthenbach im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"07.11.2006";"Bern";"Frutigen";"Frutigen";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"14.11.2006";"Bern";"Seftigen";"Wattenwil";"Zu bekämpfende Seuchen";"Infektiöse Laryngotracheitis der Hühner";"Huhn";"";0;0
"18.01.2007";"Bern";"Aarwangen";"Kleindietwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"17.01.2007";"Bern";"Courtelary";"Orvin";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.01.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";3;0
"16.01.2007";"Bern";"Konolfingen";"Konolfingen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"25.01.2007";"Bern";"Laupen";"Clavaleyres";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.01.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.01.2007";"Bern";"Seftigen";"Gerzensee";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.01.2007";"Bern";"Signau";"Signau";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"25.01.2007";"Bern";"Thun (bis 2010)";"Blumenstein";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"25.01.2007";"Bern";"Seftigen";"Englisberg";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"01.02.2007";"Bern";"Courtelary";"Orvin";"Zu bekämpfende Seuchen";"Salmonellose";"Rind";"";0;0
"29.01.2007";"Bern";"Bern";"Zollikofen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"26.01.2007";"Bern";"Konolfingen";"Mirchel";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.01.2007";"Bern";"Bern";"Zollikofen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"24.01.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.01.2007";"Bern";"Konolfingen";"Bowil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"16.01.2007";"Bern";"Konolfingen";"Oberthal";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.01.2007";"Bern";"Saanen";"Lauenen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.01.2007";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"25.01.2007";"Bern";"Signau";"Langnau im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.01.2007";"Bern";"Signau";"Trub";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"17.01.2007";"Bern";"Trachselwald";"Trachselwald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Courtelary";"Tramelan";"Zu bekämpfende Seuchen";"Infektiöse Laryngotracheitis der Hühner";"Huhn";"";0;0
"29.01.2007";"Bern";"Moutier";"Belprahon";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"26.01.2007";"Bern";"Thun (bis 2010)";"Fahrni";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"29.01.2007";"Bern";"Aarwangen";"Leimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Konolfingen";"Konolfingen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"30.01.2007";"Bern";"Konolfingen";"Konolfingen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"29.01.2007";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Signau";"Trub";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"07.02.2007";"Bern";"Burgdorf";"Heimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"09.02.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.02.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.02.2007";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.02.2007";"Bern";"Signau";"Langnau im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.02.2007";"Bern";"Thun (bis 2010)";"Wachseldorn";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Konolfingen";"Worb";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"30.01.2007";"Bern";"Niedersimmental";"Spiez";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"07.02.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.02.2007";"Bern";"Obersimmental";"Zweisimmen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"29.01.2007";"Bern";"Signau";"Röthenbach im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.02.2007";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"09.02.2007";"Bern";"Erlach";"Tschugg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"09.02.2007";"Bern";"Frutigen";"Aeschi bei Spiez";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.02.2007";"Bern";"Frutigen";"Reichenbach im Kandertal";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.02.2007";"Bern";"Seftigen";"Uttigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.02.2007";"Bern";"Signau";"Signau";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.02.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"14.02.2007";"Bern";"Schwarzenburg";"Guggisberg";"Zu überwachende Seuchen";"Kryptosporidiose";"Ziege";"";1;0
"16.02.2007";"Bern";"Aarberg";"Seedorf (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"16.02.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"20.02.2007";"Bern";"Konolfingen";"Allmendingen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.02.2007";"Bern";"Trachselwald";"Lützelflüh";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"14.02.2007";"Bern";"Seftigen";"Gerzensee";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"12.02.2007";"Bern";"Frutigen";"Aeschi bei Spiez";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"14.02.2007";"Bern";"Frutigen";"Kandergrund";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.02.2007";"Bern";"Konolfingen";"Münsingen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"16.02.2007";"Bern";"Oberhasli";"Hasliberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"14.02.2007";"Bern";"Trachselwald";"Walterswil (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";0;0
"19.02.2007";"Bern";"Courtelary";"Tramelan";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"21.02.2007";"Bern";"Moutier";"Sornetan";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";15;0
"01.03.2007";"Bern";"Burgdorf";"Kernenried";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.03.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";3;0
"01.03.2007";"Bern";"Trachselwald";"Affoltern im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"27.02.2007";"Bern";"Courtelary";"Courtelary";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"05.03.2007";"Bern";"Burgdorf";"Burgdorf";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.03.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.03.2007";"Bern";"Konolfingen";"Schlosswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.02.2007";"Bern";"Laupen";"Neuenegg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.02.2007";"Bern";"Signau";"Langnau im Emmental";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.02.2007";"Bern";"Courtelary";"Courtelary";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"01.03.2007";"Bern";"Bern";"Stettlen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"26.02.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.03.2007";"Bern";"Thun (bis 2010)";"Wachseldorn";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"01.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.03.2007";"Bern";"Burgdorf";"Heimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.03.2007";"Bern";"Konolfingen";"Landiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"28.02.2007";"Bern";"Konolfingen";"Niederwichtrach";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.03.2007";"Bern";"Signau";"Eggiwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.03.2007";"Bern";"Fraubrunnen";"Iffwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";3;0
"13.03.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Konolfingen";"Schlosswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"08.03.2007";"Bern";"Seftigen";"Rüti bei Riggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Signau";"Trub";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"08.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.03.2007";"Bern";"Obersimmental";"Zweisimmen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"05.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.03.2007";"Bern";"Burgdorf";"Heimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.03.2007";"Bern";"Frutigen";"Adelboden";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"09.03.2007";"Bern";"Konolfingen";"Aeschlen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.03.2007";"Bern";"Oberhasli";"Meiringen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.03.2007";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"13.03.2007";"Bern";"Seftigen";"Rüeggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
