diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"23.10.2008";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Neosporose";"Rind";"";0;0
"23.10.2008";"Bern";"Signau";"Langnau im Emmental";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"22.10.2008";"Bern";"Moutier";"Eschert";"Zu bekämpfende Seuchen";"Blauzungenkrankheit (Bluetongue)";"Rind";"";1;0
"20.10.2008";"Bern";"Burgdorf";"Lyssach";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"17.10.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";0;0
"10.10.2008";"Bern";"Signau";"Signau";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"10.10.2008";"Bern";"Konolfingen";"Bowil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"10.10.2008";"Bern";"Bern";"Bern";"Zu bekämpfende Seuchen";"Paratuberkulose";"Ziege";"";1;0
"10.10.2008";"Bern";"Frutigen";"Frutigen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"02.10.2008";"Bern";"Interlaken";"Grindelwald";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"24.11.2008";"Bern";"Thun (bis 2010)";"Sigriswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"16.09.2008";"Bern";"Burgdorf";"Wynigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"06.09.2008";"Bern";"Thun (bis 2010)";"Forst-Längenbühl";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"04.09.2008";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";0;0
"02.09.2008";"Bern";"Büren";"Büren an der Aare";"Zu überwachende Seuchen";"Tularämie";"Hase";"";1;0
"01.09.2008";"Bern";"Konolfingen";"Mirchel";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"30.08.2008";"Bern";"Konolfingen";"Worb";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"26.08.2008";"Bern";"Burgdorf";"Oberburg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"26.08.2008";"Bern";"Courtelary";"Renan (BE)";"Zu bekämpfende Seuchen";"Blauzungenkrankheit (Bluetongue)";"Rind";"";1;0
"22.08.2008";"Bern";"Aarberg";"Kallnach";"Zu überwachende Seuchen";"Kryptosporidiose";"Pferd";"";0;0
"22.08.2008";"Bern";"Burgdorf";"Oberburg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"18.08.2008";"Bern";"Biel";"Biel (BE)";"Zu bekämpfende Seuchen";"Chlamydiose der Vögel";"Sittich";"";1;0
"15.08.2008";"Bern";"Trachselwald";"Huttwil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.08.2008";"Bern";"Trachselwald";"Affoltern im Emmental";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"14.08.2008";"Bern";"Aarwangen";"Rohrbachgraben";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";9;0
"13.08.2008";"Bern";"Seftigen";"Wattenwil";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";4;0
"13.08.2008";"Bern";"Konolfingen";"Worb";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
