Country,StartTime,Work and study,Travel to/from work/study,Household work,Sleep and other personal care,Eating,Freetime,TV and video,Unspecified time
Spain,2:10,1.49,0.1,0.27,93.72,0.17,3.52,0.69,0.05
Spain,2:20,1.47,0.07,0.26,94.06,0.15,3.38,0.59,0.02
Spain,2:30,1.44,0.07,0.22,94.62,0.15,3.04,0.44,0.01
Spain,2:40,1.43,0.08,0.2,94.8,0.15,2.89,0.45,0.01
Spain,2:50,1.42,0.08,0.23,95.03,0.12,2.7,0.4,0.01
Spain,3:00,1.31,0.11,0.38,95.54,0.1,2.34,0.22,0.01
Spain,3:10,1.32,0.07,0.3,95.82,0.11,2.16,0.21,0.01
Spain,3:20,1.31,0.07,0.29,95.99,0.11,2.03,0.2,0.01
Spain,3:30,1.28,0.06,0.25,96.26,0.07,1.89,0.17,0.02
Spain,3:40,1.27,0.06,0.21,96.42,0.08,1.79,0.14,0.02
Spain,3:50,1.27,0.07,0.2,96.58,0.06,1.67,0.14,0.02
Poland,4:00,1.45,0.08,0.31,97.63,0.04,0.47,0.01,0.01
Poland,4:10,1.48,0.14,0.41,97.39,0.11,0.45,0.01,0
Poland,4:20,1.51,0.26,0.51,97.02,0.23,0.45,0.02,0
Poland,4:30,1.56,0.37,0.6,96.56,0.4,0.46,0.05,0
Poland,4:40,1.66,0.56,0.82,95.88,0.52,0.51,0.04,0
Poland,4:50,1.83,0.9,0.9,95.1,0.6,0.61,0.05,0.01
Poland,5:00,2.15,1.21,1.24,93.99,0.62,0.73,0.05,0.01
Poland,5:10,2.48,1.56,1.6,92.47,1.01,0.82,0.06,0
Poland,5:20,2.81,2.43,1.7,90.89,1.26,0.87,0.05,0
Poland,5:30,3.42,3.12,1.9,89.29,1.18,1.02,0.07,0
Poland,5:40,4.13,3.5,2.44,87.46,1.19,1.2,0.08,0
Poland,5:50,5.59,3.13,2.64,85.7,1.45,1.4,0.08,0.01
Poland,6:00,7.52,2.67,3.68,82.56,1.65,1.73,0.18,0.01
Poland,6:10,8.29,3.22,5.43,78.52,2.36,1.94,0.22,0.01
Poland,6:20,9.13,3.98,6.61,74.2,3.68,2.14,0.26,0.01
Poland,6:30,10.05,5,7.41,70.45,4.09,2.67,0.31,0.01
Poland,6:40,10.96,6.35,7.73,67.12,4.45,3,0.37,0.03
Poland,6:50,13,5.93,8.82,63.74,4.66,3.41,0.4,0.04
Poland,7:00,16.98,3.61,11.53,58.33,4.78,4.15,0.61,0.02
Poland,7:10,17.81,3.79,13.97,52.92,6.25,4.51,0.72,0.03
Poland,7:20,18.8,4.14,16.24,46.92,8.1,4.94,0.84,0.02
Poland,7:30,20.29,4.21,17.56,42.25,9.3,5.41,0.96,0.03
Poland,7:40,20.95,4.63,18.59,38.99,9.77,5.96,1.08,0.04
Poland,7:50,22.33,4.15,19.57,36.1,10.02,6.52,1.27,0.05
Poland,8:00,24.63,2.32,21.53,32.31,10.46,6.87,1.84,0.05
Poland,8:10,25.32,2.09,23.47,28.36,11.4,7.28,2.02,0.06
Poland,8:20,25.79,2.04,25.56,24.27,11.95,7.96,2.39,0.04
Poland,8:30,26.4,1.9,26.8,21.43,11.94,8.84,2.64,0.05
Poland,8:40,26.82,1.95,27.74,19.23,11.72,9.6,2.87,0.08
Poland,8:50,27.38,1.78,28.41,17.58,11.38,10.4,2.96,0.1
Poland,9:00,28.23,1.5,29.86,15.68,9.94,11.34,3.37,0.08
Poland,9:10,28.53,1.33,30.92,13.66,9.87,11.81,3.81,0.07
Poland,9:20,29.07,1.25,31.56,11.48,9.92,12.51,4.09,0.1
Poland,9:30,29.41,1.26,32.2,10.08,9.27,13.33,4.38,0.08
Poland,9:40,29.78,1.27,32.37,9.14,8.72,13.97,4.65,0.11
Poland,9:50,29.81,1.16,32.17,8.26,8.84,14.87,4.77,0.13
Poland,10:00,30,0.85,33.8,7.73,7.66,15.57,4.29,0.08
Poland,10:10,30.46,0.68,33.82,6.79,8.06,15.57,4.51,0.09
Poland,10:20,30.85,0.74,34.08,5.67,7.45,16.24,4.88,0.09
Poland,10:30,31.08,0.67,34.29,5.02,6.72,17.04,5.09,0.08
Poland,10:40,31.3,0.66,34.29,4.7,6.1,17.56,5.24,0.16
Poland,10:50,31.31,0.69,34.17,4.28,5.92,18.2,5.23,0.2
Poland,11:00,30.78,0.8,34.95,4.25,5.89,18.41,4.72,0.19
Poland,11:10,30.87,0.75,34.65,4.02,6,18.67,4.92,0.13
Poland,11:20,31.18,0.6,34.84,3.57,5.57,18.99,5.11,0.13
Poland,11:30,31.28,0.71,35.03,3.41,4.92,19.35,5.14,0.16
Poland,11:40,31.26,0.75,35.2,3.32,4.55,19.53,5.21,0.17
Poland,11:50,31.16,0.77,34.81,3.25,5.08,19.43,5.27,0.22
Poland,12:00,30.4,0.93,34.33,3.19,7.69,18.52,4.77,0.17
Poland,12:10,30.46,0.8,34.12,3.1,8.43,18.06,4.86,0.15
Poland,12:20,30.52,0.78,34.15,2.97,8.39,18.22,4.86,0.1
Poland,12:30,30.39,0.88,33.76,2.97,8.69,18.42,4.74,0.15
Poland,12:40,30.26,0.94,33.56,3.13,8.63,18.56,4.74,0.18
Poland,12:50,29.95,1.07,32.35,3.19,10.3,18.46,4.48,0.2
Poland,13:00,28.68,1.65,30.08,3.44,14.87,17.02,4.03,0.23
Poland,13:10,28.67,1.48,30.06,3.3,15.14,16.96,4.24,0.16
Poland,13:20,28.89,1.49,30.41,3.37,13.67,17.41,4.58,0.18
Poland,13:30,28.86,1.71,30.68,3.52,11.98,18.23,4.8,0.21
Poland,13:40,28.9,1.68,30.28,3.88,11.18,18.7,5.22,0.16
Poland,13:50,28.65,1.56,28.83,4.13,12.24,19.06,5.3,0.23
Poland,14:00,26.56,3.1,26.53,4.24,15.53,18.58,5.23,0.24
Poland,14:10,26.13,2.96,26.16,4.14,15.94,18.8,5.68,0.19
Poland,14:20,25.9,2.73,26.59,4.27,14.41,19.65,6.19,0.25
Poland,14:30,25.68,2.63,26.96,4.61,11.9,21.08,6.89,0.25
Poland,14:40,25.58,2.25,27.13,4.72,10.99,21.86,7.21,0.24
Poland,14:50,25.32,2.19,26.71,4.8,10.96,22.39,7.4,0.25
Poland,15:00,21.92,4.88,25.92,4.79,11.82,23.1,7.3,0.28
Poland,15:10,21.32,4.23,26.13,4.67,12.31,23.41,7.67,0.25
Poland,15:20,21.08,3.53,26.57,4.59,11.8,24.11,8.03,0.28
Poland,15:30,20.13,3.53,26.89,4.83,10.7,25.1,8.54,0.28
Poland,15:40,19.89,2.9,26.91,4.8,10.43,25.81,9.03,0.23
Poland,15:50,19.66,2.54,26.61,4.74,10.39,26.45,9.36,0.25
Poland,16:00,17.37,4,26.65,4.67,9.9,26.8,10.39,0.22
Poland,16:10,17.35,3.23,26.38,4.44,10.89,26.46,11.04,0.2
Poland,16:20,17.21,2.74,26.1,4.26,10.52,26.94,12.01,0.22
Poland,16:30,17.01,2.39,25.91,4.15,9.72,27.41,13.2,0.21
Poland,16:40,16.91,2.03,25.72,4.11,9.44,27.62,13.94,0.22
Poland,16:50,16.65,1.76,25.33,4.03,9.21,27.64,15.13,0.24
Poland,17:00,15.07,2.32,24.34,3.54,8.99,26.37,19.15,0.21
Poland,17:10,14.92,2.07,24.07,3.37,9.6,26.38,19.38,0.21
Poland,17:20,15.12,1.86,24.96,3.42,9.13,27.43,17.86,0.21
Poland,17:30,14.98,1.74,25.18,3.36,8.61,28.35,17.61,0.15
Poland,17:40,14.77,1.62,25,3.67,8.46,28.4,17.86,0.22
Poland,17:50,14.54,1.56,24.84,3.59,8.88,28.66,17.62,0.31
Poland,18:00,13.26,2.22,26.87,3.72,10.17,27.89,15.56,0.3
Poland,18:10,12.96,1.93,26.67,3.57,11.72,27.1,15.78,0.28
Poland,18:20,12.63,1.66,26.06,3.47,12.9,27.02,16.04,0.22
Poland,18:30,12.39,1.48,25.66,3.46,13.26,26.87,16.58,0.29
Poland,18:40,12.16,1.3,26.13,3.67,13.34,26.39,16.72,0.29
Poland,18:50,11.69,1.14,25.37,4.02,14.53,25.69,17.19,0.37
Poland,19:00,9.31,1.71,25.61,5.27,16.09,22.75,18.9,0.37
Poland,19:10,9,1.55,23.6,5.08,18.75,21.55,20.13,0.33
Poland,19:20,8.72,1.36,21.36,4.69,18.93,20.78,23.8,0.36
Poland,19:30,8.13,1.11,20.01,4.73,15.65,19.05,30.87,0.46
Poland,19:40,7.86,0.96,19.79,5.11,13.61,18.93,33.22,0.53
Poland,19:50,7.49,0.91,19.29,5.79,12.27,18.82,34.8,0.62
Poland,20:00,6.58,1.14,19.23,8.19,10.98,18.37,34.84,0.67
Poland,20:10,6.38,0.92,17.46,8.19,11.29,17.74,37.2,0.81
Poland,20:20,6.22,0.81,15.48,7.99,10.54,17.38,40.74,0.86
Poland,20:30,5.98,0.76,14.02,8.43,8.8,17.3,43.57,1.14
Poland,20:40,5.84,0.71,12.75,9.1,7.31,17.2,45.66,1.43
Poland,20:50,5.73,0.68,11.77,10.55,6.49,17.28,45.8,1.71
Poland,21:00,5.17,0.88,10.97,16.54,5.18,16.87,42.69,1.72
Poland,21:10,5.14,0.82,9.77,17.65,4.99,16.33,43.24,2.06
Poland,21:20,5.03,0.77,8.64,19.45,4.58,15.99,43.14,2.39
Poland,21:30,4.93,0.7,7.58,23.02,3.67,15.91,41.31,2.88
Poland,21:40,4.8,0.63,6.71,26.12,3.22,15.66,39.21,3.65
Poland,21:50,4.68,0.55,6.07,31.86,2.77,14.67,35.58,3.83
Poland,22:00,3.65,1.04,5.22,49.14,1.93,12.58,24.01,2.42
Poland,22:10,3.45,0.97,4.34,50.55,2.06,12.12,23.87,2.63
Poland,22:20,3.36,0.73,3.76,52.87,1.92,11.69,23.18,2.49
Poland,22:30,3.18,0.53,3.13,57.89,1.69,10.82,20.54,2.22
Poland,22:40,3.06,0.39,2.53,61.15,1.57,10.05,18.9,2.35
Poland,22:50,2.93,0.3,2.22,65.07,1.28,9.11,16.53,2.57
Poland,23:00,2.56,0.35,1.88,75.72,0.89,7.01,10.2,1.4
Poland,23:10,2.48,0.3,1.52,78.12,0.86,6.24,9.11,1.38
Poland,23:20,2.41,0.26,1.21,80.59,0.65,5.75,8.04,1.09
Poland,23:30,2.31,0.18,0.96,83.15,0.58,5.19,6.82,0.8
Poland,23:40,2.23,0.13,0.85,84.94,0.54,4.67,5.86,0.77
Poland,23:50,2.13,0.12,0.65,86.84,0.49,4.19,4.78,0.8
Poland,0:00,1.96,0.13,0.55,90.4,0.37,3.3,2.87,0.42
Poland,0:10,1.92,0.12,0.51,91.55,0.3,2.9,2.41,0.29
Poland,0:20,1.89,0.07,0.43,92.43,0.26,2.66,2.05,0.21
Poland,0:30,1.83,0.07,0.46,93.15,0.21,2.42,1.69,0.16
Poland,0:40,1.78,0.08,0.35,93.73,0.21,2.23,1.44,0.19
Poland,0:50,1.77,0.07,0.38,94.08,0.16,2.11,1.25,0.17
Poland,1:00,1.68,0.08,0.39,95.29,0.18,1.7,0.63,0.06
Poland,1:10,1.67,0.06,0.35,95.49,0.14,1.62,0.62,0.05
Poland,1:20,1.68,0.05,0.26,95.8,0.13,1.48,0.55,0.06
Poland,1:30,1.66,0.05,0.22,95.99,0.09,1.43,0.51,0.05
Poland,1:40,1.64,0.06,0.2,96.16,0.1,1.34,0.45,0.04
Poland,1:50,1.65,0.05,0.2,96.28,0.12,1.27,0.39,0.04
Poland,2:00,1.59,0.05,0.32,96.58,0.11,1.1,0.23,0.02
Poland,2:10,1.55,0.07,0.3,96.77,0.1,0.97,0.2,0.03
Poland,2:20,1.54,0.08,0.27,96.95,0.11,0.89,0.15,0.02
Poland,2:30,1.56,0.06,0.25,97.1,0.09,0.8,0.13,0.01
Poland,2:40,1.57,0.05,0.25,97.16,0.06,0.76,0.14,0.02
Poland,2:50,1.54,0.04,0.22,97.28,0.04,0.74,0.11,0.03
Poland,3:00,1.52,0.06,0.24,97.33,0.05,0.68,0.08,0.04
Poland,3:10,1.52,0.05,0.26,97.42,0.04,0.64,0.05,0.02
Poland,3:20,1.52,0.06,0.25,97.51,0.05,0.56,0.05,0.01
Poland,3:30,1.5,0.08,0.22,97.6,0.04,0.5,0.05,0.01
Poland,3:40,1.49,0.12,0.26,97.58,0.06,0.43,0.05,0.01
Poland,3:50,1.51,0.15,0.25,97.57,0.03,0.42,0.05,0.02
Sweden,4:00,1.48,0.11,0.41,97.1,0.09,0.74,0.04,0.03
Sweden,4:10,1.48,0.11,0.49,96.93,0.2,0.73,0.05,0.01
Sweden,4:20,1.58,0.11,0.55,96.74,0.21,0.73,0.06,0.01
Sweden,4:30,1.6,0.2,0.67,96.5,0.21,0.74,0.07,0.01
Sweden,4:40,1.72,0.2,0.64,96.31,0.37,0.71,0.06,0.01
Sweden,4:50,1.74,0.28,0.62,96.01,0.45,0.83,0.05,0.03
Sweden,5:00,1.86,0.39,1.13,94.99,0.73,0.81,0.08,0.01
Sweden,5:10,1.96,0.63,1.18,94.06,0.99,1.05,0.13,0
Sweden,5:20,2.11,1.04,1.56,92.68,1.35,1.13,0.11,0.02
Sweden,5:30,2.57,1.19,1.87,91.03,1.89,1.36,0.07,0.02
Sweden,5:40,2.76,1.38,2.18,89.35,2.44,1.8,0.07,0.03
Sweden,5:50,3.06,1.65,2.56,87.2,3.25,2.09,0.16,0.02
Sweden,6:00,3.62,2.13,4.34,83.03,3.88,2.47,0.47,0.05
Sweden,6:10,4.11,2.69,4.72,79.4,5.23,3.12,0.59,0.15
Sweden,6:20,4.87,3.48,5.51,76.2,5.76,3.1,0.92,0.16
Sweden,6:30,5.87,4.59,5.97,72.39,5.96,3.89,1.13,0.2
Sweden,6:40,7.27,5.63,6.47,69.08,6.37,3.98,0.98,0.22
Sweden,6:50,9.58,5.24,7.47,65.05,7.16,4.1,1.13,0.27
Sweden,7:00,12.65,4.07,10.68,58.94,6.66,5.47,1.3,0.23
Sweden,7:10,13.47,4.99,10.24,54.92,8.77,6.11,1.26,0.24
Sweden,7:20,14.89,5.82,10.78,51.08,9.29,6.71,1.11,0.33
Sweden,7:30,17.58,5.86,11.06,47.71,9.19,6.94,1.37,0.29
Sweden,7:40,19.16,6.91,11.43,44.89,8.91,7.19,1.22,0.3
Sweden,7:50,21.85,7,11.87,41.72,8.02,7.82,1.4,0.31
Sweden,8:00,26.74,4.24,14.27,36.93,7.77,8.13,1.61,0.32
Sweden,8:10,28.64,3.75,14.44,34.2,8.5,8.7,1.4,0.38
Sweden,8:20,30.5,3.45,14.74,31.17,9.1,9.21,1.48,0.36
Sweden,8:30,31.96,3.22,14.82,28.24,9.32,10.02,2.08,0.34
Sweden,8:40,32.83,3.25,15.84,25.88,9.39,10.37,2.06,0.38
Sweden,8:50,33.8,2.73,16.73,23.95,9.39,10.92,1.97,0.52
Sweden,9:00,35.44,1.62,18.85,20.57,9.58,11.57,1.68,0.68
Sweden,9:10,36.03,1.46,19.01,18.58,10.58,12.06,1.64,0.64
Sweden,9:20,36.37,1.34,19.99,17.17,10.32,12.55,1.56,0.7
Sweden,9:30,37.26,1.19,21.51,15.16,8.85,13.73,1.62,0.68
Sweden,9:40,37.56,1.27,21.93,14.1,8.19,14.65,1.46,0.83
Sweden,9:50,37.99,1.24,21.92,12.91,8.19,15.53,1.48,0.73
Sweden,10:00,38.45,0.96,23.68,11.16,7.52,15.92,1.55,0.76
Sweden,10:10,38.74,0.68,24.28,9.84,7.92,16.24,1.58,0.72
Sweden,10:20,38.92,0.61,24.86,8.91,6.72,17.44,1.72,0.82
Sweden,10:30,39.28,0.51,25.64,8.06,5.85,18.11,1.77,0.78
Sweden,10:40,39.42,0.52,25.12,7.48,6.29,18.59,1.73,0.84
Sweden,10:50,39.17,0.6,24.83,7.28,6.39,19.11,1.65,0.97
Sweden,11:00,38.39,0.62,25.8,6.64,6.4,19.13,1.67,1.33
Sweden,11:10,38.26,0.73,25.63,6.08,7.4,19.16,1.57,1.18
Sweden,11:20,37.89,0.69,25.92,5.74,7.26,19.71,1.5,1.29
Sweden,11:30,36.05,0.76,26.46,5.3,7.87,20.15,1.52,1.89
Sweden,11:40,35.75,0.75,26.49,4.79,8.52,20.65,1.61,1.44
Sweden,11:50,34.97,0.84,26.39,4.69,9.52,20.28,1.57,1.73
Sweden,12:00,28.58,1.33,26.1,4.33,15.16,19.74,1.6,3.16
Sweden,12:10,27.9,1.13,26.38,3.79,18.04,19.61,1.49,1.66
Sweden,12:20,28.16,1.16,26.31,3.56,17.46,20.22,1.53,1.6
Sweden,12:30,29.22,1.02,26.27,3.45,15.76,20.89,1.68,1.71
Sweden,12:40,30.24,1.11,25.44,3.28,14.72,21.54,1.74,1.92
Sweden,12:50,31.81,0.96,25.42,3.02,13.02,21.67,1.82,2.29
Sweden,13:00,35.37,1.19,24.49,3.42,11.07,21.13,1.9,1.44
Sweden,13:10,35.99,1.09,24.22,3.46,10.73,21.5,1.9,1.11
Sweden,13:20,36.51,0.93,23.91,3.38,9.94,22.13,1.97,1.23
Sweden,13:30,37.19,1.18,24.04,3.16,8.84,22.47,2.09,1.02
Sweden,13:40,37.31,1.15,23.37,3.04,8.77,22.93,2.29,1.13
Sweden,13:50,37.6,0.99,23.44,3.18,8.05,23.51,2.25,0.98
Sweden,14:00,36.97,1.81,23.84,2.92,7.88,23.06,2.49,1.03
Sweden,14:10,36.75,1.43,24.24,3.06,8.09,22.64,2.65,1.12
Sweden,14:20,36.54,1.35,23.96,2.66,8.24,23.34,2.8,1.11
Sweden,14:30,36.42,1.39,23.78,2.67,7.63,24.09,2.96,1.06
Sweden,14:40,36.12,1.44,23.65,2.76,7.29,24.46,3.15,1.12
Sweden,14:50,35.93,1.41,23.53,2.8,7.85,24.17,3.18,1.13
Sweden,15:00,34.35,2.19,23.84,2.76,8.63,23.85,3.27,1.11
Sweden,15:10,33.86,1.99,23.97,2.61,8.46,24.65,3.36,1.09
Sweden,15:20,33.48,1.99,24.64,2.8,8.03,24.5,3.55,1.01
Sweden,15:30,32.28,2.44,24.78,2.8,7.92,24.87,3.79,1.12
Sweden,15:40,31.73,2.34,25.52,2.78,7.01,25.5,4.07,1.04
Sweden,15:50,30.88,2.72,25.72,2.75,7.68,25.26,3.91,1.09
Sweden,16:00,25.28,6.89,26.36,3.16,7.92,25.72,3.69,0.97
Sweden,16:10,24.01,5.8,27.1,3.24,9.02,26.14,3.84,0.85
Sweden,16:20,22.7,5,27.73,3.06,9.22,27.47,3.87,0.94
Sweden,16:30,20.49,5.02,29.9,3.16,9.19,27.1,4.13,1.02
Sweden,16:40,19.25,4.47,30.52,3.25,9.45,27.76,4.38,0.92
Sweden,16:50,18.47,3.8,30.49,3.41,10.18,28.32,4.33,0.99
Sweden,17:00,15.05,4.81,31.46,3.9,11.57,27.61,4.64,0.95
Sweden,17:10,14.19,3.98,31.81,3.58,12.2,28.29,4.93,1.01
Sweden,17:20,13.51,3.4,31.98,3.92,12.51,28,5.63,1.05
Sweden,17:30,12.44,3.18,31.02,3.97,13.07,29.08,6.12,1.12
Sweden,17:40,11.69,2.92,30.74,3.81,13.25,29.86,6.56,1.17
Sweden,17:50,11.48,2.44,30.38,3.61,13.06,30.44,7.46,1.13
Sweden,18:00,10.14,2.75,27.98,3.21,13.92,29.38,11.62,1.01
Sweden,18:10,9.53,2.59,27.43,3.46,14.33,29.15,12.47,1.04
Sweden,18:20,9.24,2.07,27.85,3.46,14.02,30.65,11.73,0.99
Sweden,18:30,8.8,1.56,26.69,3.3,13.97,32.02,12.54,1.13
Sweden,18:40,8.48,1.3,26.23,2.73,13.77,32.39,13.72,1.38
Sweden,18:50,8.37,1.03,25.23,2.68,13.81,33.28,14.28,1.32
Sweden,19:00,7.86,1.18,23.57,3.12,12,32.73,18.34,1.2
Sweden,19:10,7.7,0.81,23.02,3.14,12.19,32.32,19.72,1.11
Sweden,19:20,7.5,0.62,21.88,2.83,11.67,31.61,22.97,0.94
Sweden,19:30,7.4,0.58,20.38,2.77,10.67,29.99,27.3,0.9
Sweden,19:40,7.38,0.61,19.69,2.62,10.87,29.75,28.08,0.99
Sweden,19:50,7.24,0.53,19.51,2.76,10.78,28.98,29.19,1.02
Sweden,20:00,6.92,0.68,18.87,3.58,10.6,29.33,29.1,0.93
Sweden,20:10,6.73,0.81,17.03,3.16,10.35,29.44,31.6,0.89
Sweden,20:20,6.88,0.65,16.69,3.29,8.8,29.22,33.58,0.89
Sweden,20:30,6.76,0.58,16.09,3.33,8.48,28.51,35.1,1.13
Sweden,20:40,6.69,0.52,14.68,3.65,7.84,28.4,37.18,1.04
Sweden,20:50,6.51,0.49,14.5,4.05,7.48,27.7,38.19,1.07
Sweden,21:00,5.66,0.94,13.79,5.78,6.71,26.84,39.06,1.23
Sweden,21:10,5.57,0.85,12.06,6,6.44,27.22,40.7,1.17
Sweden,21:20,5.4,0.78,10.86,6.84,6.17,26.91,41.74,1.31
Sweden,21:30,5.08,0.94,9.96,9.69,5.2,26.92,40.83,1.37
Sweden,21:40,5.07,0.67,9.1,11.43,4.95,25.95,41.68,1.15
Sweden,21:50,4.77,0.69,8.72,14.85,4.65,25.16,40.07,1.09
Sweden,22:00,4.12,0.81,8.58,27.91,3.34,24.32,29.85,1.08
Sweden,22:10,3.94,0.63,7.52,27.76,3.49,25.97,29.58,1.12
Sweden,22:20,3.86,0.64,5.87,30.71,2.8,25.91,29.12,1.09
Sweden,22:30,3.72,0.54,5.26,37.16,2.24,24.58,25.39,1.1
Sweden,22:40,3.51,0.5,4.93,41.45,2.09,23.77,22.65,1.11
Sweden,22:50,3.32,0.44,4.37,46.44,1.94,22.12,20.41,0.96
Sweden,23:00,3.01,0.39,3.87,58.66,1.31,18.4,13.6,0.75
Sweden,23:10,2.89,0.3,3.15,61.97,1.24,17.84,11.87,0.74
Sweden,23:20,2.82,0.21,2.46,65.61,1.03,16.45,10.92,0.5
Sweden,23:30,2.61,0.21,2.14,70.67,0.9,14.44,8.45,0.59
Sweden,23:40,2.49,0.26,1.83,73.28,0.88,13.54,7.06,0.67
Sweden,23:50,2.42,0.21,1.44,76.61,1.04,11.87,5.92,0.5
Sweden,0:00,2.03,0.21,1.29,82.16,0.71,9.08,3.93,0.58
Sweden,0:10,1.94,0.21,1.2,83.82,0.66,8.21,3.48,0.47
Sweden,0:20,1.85,0.12,0.79,85.65,0.64,7.61,2.89,0.46
Sweden,0:30,1.74,0.09,0.63,87.77,0.46,6.59,2.34,0.38
Sweden,0:40,1.73,0.04,0.58,89.18,0.29,5.73,2.07,0.38
Sweden,0:50,1.63,0.08,0.54,90.2,0.25,5.19,1.82,0.28
Sweden,1:00,1.51,0.09,0.71,92.22,0.14,4.12,0.94,0.27
Sweden,1:10,1.5,0.05,0.65,92.42,0.19,3.99,0.91,0.28
Sweden,1:20,1.55,0.04,0.5,93.03,0.23,3.6,0.83,0.23
Sweden,1:30,1.59,0.02,0.5,93.44,0.18,3.31,0.73,0.22
Sweden,1:40,1.59,0.02,0.4,93.88,0.18,2.99,0.7,0.24
Sweden,1:50,1.56,0.02,0.32,94.36,0.15,2.76,0.59,0.24
Sweden,2:00,1.44,0.04,0.45,94.81,0.15,2.47,0.42,0.23
Sweden,2:10,1.43,0.07,0.42,95.13,0.18,2.16,0.4,0.21
Sweden,2:20,1.4,0.08,0.41,95.43,0.17,1.94,0.39,0.19
Sweden,2:30,1.38,0.01,0.36,95.67,0.16,1.83,0.4,0.19
Sweden,2:40,1.4,0.02,0.35,95.78,0.16,1.68,0.39,0.22
Sweden,2:50,1.39,0.04,0.39,95.91,0.14,1.57,0.35,0.21
Sweden,3:00,1.44,0,0.52,96.11,0.16,1.28,0.29,0.2
Sweden,3:10,1.45,0.02,0.41,96.42,0.13,1.12,0.22,0.22
Sweden,3:20,1.42,0.03,0.35,96.66,0.14,0.97,0.2,0.22
Sweden,3:30,1.42,0.04,0.38,96.8,0.12,0.85,0.22,0.17
Sweden,3:40,1.43,0.15,0.34,96.86,0.04,0.83,0.18,0.17
Sweden,3:50,1.46,0.14,0.45,96.84,0.06,0.72,0.18,0.15
Slovenia,4:00,1,0.03,0.26,98.02,0.1,0.56,0.02,0.01
Slovenia,4:10,1.01,0.08,0.35,97.95,0.11,0.47,0.02,0.01
Slovenia,4:20,1.01,0.17,0.28,97.62,0.3,0.54,0.07,0
Slovenia,4:30,1.15,0.33,0.52,97.06,0.3,0.58,0.06,0
Slovenia,4:40,1.2,0.51,0.67,96.58,0.4,0.56,0.08,0
Slovenia,4:50,1.4,0.74,1.02,95.63,0.41,0.71,0.08,0
Slovenia,5:00,1.82,0.93,1.79,93.75,0.57,1.1,0.04,0
Slovenia,5:10,2.04,1.46,2.16,91.86,1.22,1.18,0.05,0.02
Slovenia,5:20,2.5,2.72,2.32,89.29,1.73,1.37,0.05,0.02
Slovenia,5:30,3.12,4.45,2.61,86.23,1.74,1.75,0.07,0.02
Slovenia,5:40,3.83,5.67,2.97,83.85,1.64,1.97,0.06,0.02
Slovenia,5:50,6.57,4.79,3.77,81.15,1.59,2.08,0.05,0
Slovenia,6:00,9.96,3.07,5.56,76.86,2.02,2.49,0.04,0
Slovenia,6:10,10.73,3.46,6.58,72.81,3.67,2.69,0.05,0
Slovenia,6:20,11.62,4.67,8.1,67.8,4.71,2.99,0.11,0
Slovenia,6:30,13.12,6.63,9.01,63.02,4.9,3.22,0.1,0
Slovenia,6:40,14.02,8.37,9.97,59.22,4.59,3.71,0.11,0.01
Slovenia,6:50,17.2,7.32,10.63,55.96,4.43,4.29,0.11,0.06
Slovenia,7:00,23.29,2.88,12.78,49.14,6.22,5.3,0.33,0.06
Slovenia,7:10,24.4,3.2,15.19,44.03,7.06,5.75,0.35,0.03
Slovenia,7:20,25.34,3.72,18.05,38.2,8.43,5.94,0.3,0.02
Slovenia,7:30,26.99,3.54,19.28,33.97,9.19,6.64,0.38,0.01
Slovenia,7:40,27.89,3.61,20.63,30.97,8.98,7.47,0.39,0.07
Slovenia,7:50,28.82,3.65,20.96,28.16,9.98,7.87,0.51,0.06
Slovenia,8:00,31.33,1.66,23.22,24.54,10.15,8.36,0.64,0.11
Slovenia,8:10,32.18,1.19,24.56,21.16,11.25,8.87,0.7,0.09
Slovenia,8:20,32.67,1.11,26.44,17.98,11.59,9.37,0.76,0.08
Slovenia,8:30,32.84,1.23,27.7,15.58,11.31,10.42,0.79,0.12
Slovenia,8:40,33.16,1.09,28.87,14.02,10.85,11.09,0.8,0.12
Slovenia,8:50,33.31,1.11,29.25,12.71,10.91,11.71,0.87,0.14
Slovenia,9:00,33.16,0.79,31.5,11.12,9.47,12.85,0.9,0.21
Slovenia,9:10,33.29,0.69,31.81,9.69,9.89,13.42,1.05,0.16
Slovenia,9:20,33.06,0.7,32.64,8.06,9.78,14.33,1.24,0.19
Slovenia,9:30,32.86,0.66,33.82,6.91,8.45,15.67,1.37,0.26
Slovenia,9:40,32.84,0.71,33.85,6.45,8.25,16.09,1.63,0.17
Slovenia,9:50,32.3,0.65,33.43,6.01,9.03,16.72,1.66,0.2
Slovenia,10:00,30.61,0.64,34.54,5.21,10.35,16.95,1.49,0.21
Slovenia,10:10,31.01,0.56,34.3,4.72,10.26,17.37,1.67,0.12
Slovenia,10:20,31.72,0.56,34.88,4.05,9.04,17.87,1.72,0.15
Slovenia,10:30,33.95,0.54,35.66,3.74,6.32,17.63,1.85,0.3
Slovenia,10:40,34.4,0.63,35.62,3.25,5.93,17.83,2.03,0.31
Slovenia,10:50,34.15,0.6,35.81,3.02,5.9,18.12,2.1,0.29
Slovenia,11:00,33.95,0.77,36.78,2.85,5.49,17.36,2.37,0.42
Slovenia,11:10,34.38,0.57,37,2.7,5.04,17.44,2.52,0.35
Slovenia,11:20,34.72,0.53,37.14,2.59,4.78,17.34,2.61,0.29
